#NAME?,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,MoM,YoY 
Tomato,270.8,268.04,257.48,275.21,292.05,292.76,320.55,305.56,278.71,285.12,276.67,277.54,287.8,297.14,299.04,285.71,324.61,372.93,384.21,397.92,377.22,228.13,303.21,250,210.48,218.33,200.9,195.92,185.92,115.92,105.92,108.03,149.94,198.81,147.25,168.07,125.22,156.67,127.22,130.48,130.28,131.67,140.48,131.17,151.98,149.61,154.76,153.33,141.98,151.98,193.93,226.25,307.59,359.17,285,325,14.04,147.77
Yam tuber,259.25,267.39,285.21,283.33,323.23,332.08,357.29,327.79,280.92,227.79,214.72,257.59,242.37,254.03,399.26,405.07,466.62,488.11,467.93,466.88,465.51,388.11,268.49,256.67,276.67,277.83,266.77,267.96,256.96,207.96,167.96,148.61,158.31,159.7,150.25,189,143.26,156.25,155.03,226.97,226.68,227.27,269.88,265.09,266.71,263.96,345.24,336.67,336.71,356.71,346.19,325.89,371.87,333.33,377.83,379.76,0.51,43.26
Dried Fish Sardine,1375.51,1348.39,1350,1378.37,1362.08,1428.23,1450,1450.6,1350,1312,1325,1185,1102.15,1201.71,1243.28,972.35,1061.29,974.75,1013.33,1120,1150,1137.5,962.86,1102.15,1028.23,1166.67,1155.56,1177.78,1200.78,1277.78,1300.12,1270,1302.54,1353.59,1403.33,1413.33,1486.56,1466.67,1450,1425,1445.45,1450,1450,1466.67,1400,1459.11,1464.11,1450,1398,1390,1366.67,1360,1376.67,1387.5,1420,1500,5.63,2.27
Iced Sardine,730.6,750,761.36,769.44,771.32,771.67,783.89,787.5,778.8,722.22,722.22,808.33,883.33,902.83,810,813.54,897.22,892.71,834.72,875,883.33,729.17,740.83,744.44,741.67,747.55,750,800,800,800.39,800,845.33,850,861.52,937.5,925,915.56,900,880.95,904.17,910,900,903.33,910,962.5,958.33,920.83,933.33,922.5,932.75,960,980,977.78,927.78,1020,1100,7.84,20.88
Irish potato,184.58,185.7,188.35,189.99,188.54,194.12,197.98,195.9,184.56,175,159.7,263.78,286.21,422.23,358.29,389.09,408.72,410.5,412.58,394.72,405.16,350.5,329.05,232.35,213.3,212.5,205.42,198.13,206.13,186.13,177.13,208.3,204.82,201.27,246.33,252.85,205.65,270.42,310.1,318.31,312.85,313.64,321.25,325.16,313.03,325.4,328.46,324.2,313.03,303.03,349.01,352.67,399.12,354.95,384.85,415.98,8.09,27.93
Sweet potato,93.57,94.94,93.41,99.46,99.54,99.49,93.18,93.33,92.63,89.3,95.25,105.39,105.94,101.97,236.16,271.67,308.59,293.02,294.64,276.4,264.38,245.02,208.82,223.12,223.12,224.97,220.2,260.75,230.75,260.75,220.75,216.02,185.52,153.54,205.54,193.56,180.12,209.65,212.56,169.84,171.54,174.59,174.34,174.15,172.45,173.87,147.11,147.83,139.49,137.49,143.71,161.09,172.5,189.19,240.48,271.61,12.95,55.96
Tilapia fish (epiya) fresh,877.64,885,897.5,891.67,892.75,905,925,926.67,924.55,866.67,850.55,853.85,866.67,836.73,900,928.57,933.33,977.78,976.36,955.3,909.85,877.78,819.05,750,800,750,750,766.83,741.11,711.11,661.11,704.44,684.29,681.82,663.03,644.44,640,671.43,712.5,758.33,775,774.68,796.67,794.44,797.22,798.43,800,835,827.22,897.22,900,933.33,940,919.23,980,1100,12.24,38.46
Titus:frozen,688.29,689.83,692.1,695.28,692.64,695,698.89,700.33,690.48,673.33,683.49,716.67,924.6,928.57,1000,978.97,997.95,1048.61,1084.62,1077.62,986.67,986.11,1082.54,991.67,891.67,861.22,861.67,916.67,896.67,916.67,906.67,958.33,920.15,933.33,941.67,958,891.67,901.11,883.33,908.33,906.67,916.67,966.67,960,950,977.78,953.33,944.44,950,950,950,950,949.21,954.17,1020,1066.67,4.58,11.11
Catfish (obokun) fresh,1030.39,1082.54,1119.32,1000,905.69,1025,1026.11,1186.25,1012.91,1102,935,822.22,950.85,1000,1008.33,1018.13,1020,1125.29,1100,1100,1000,925.29,1069.61,900,1010,980,983.33,986.67,956.67,876.67,866.67,910,909.52,850,900,926.67,887.5,925,970,1000,1000,1005,1050,1058.91,1057.82,1062.5,1080,1050,1046.71,1008.83,1050,1070,1100,1120,1142.86,1177.78,3.06,11.22
Catfish :dried,1999.32,2037.99,2045.16,1933.33,2014.14,1958.62,1880,2002.5,1965.38,1980,1857.14,1120,1300,1250,1216.45,1162.07,989.08,950,1000,966.67,1025,1050,975,1055.75,1055.75,1066.67,1055,1077.78,1100.37,1177.78,1197.78,1225.19,1275,1256.9,1243.84,1264.29,1222.22,1228.57,1211.11,1297.78,1252.41,1250,1254.93,1249.52,1250.42,1278.63,1239.62,1255,1200.42,1240.42,1213.64,1257.33,1257.14,1296.15,1321.18,1426.67,7.98,14.18
Catfish Smoked,1428.57,1364.29,1300,1333.33,1255.1,1300,1314.28,1300,1279.87,1100,1000,1000,1100,1133.33,1000,1177.78,1200,1166.67,1125,1128.97,1000,1083.33,1062.5,1157.14,1100,1200,1212.09,1253,1270,1300,1302.56,1300,1288.5,1278,1230,1230,1259.03,1230,1230,1242,1235,1240,1245,1250,1260,1257.5,1267,1265,1250,1255,1250,1265,1255,1285,1350,1365,1.11,9.2
Mackerel : frozen,717.98,710,766.67,833.33,754.51,741.67,766.67,833.33,771.93,833.33,833.33,909.09,900,900,1000,906.67,1029.91,987.21,941.27,986.83,1033.33,971.21,916.36,854.25,844.44,834.92,822.34,833.33,818.9,833.33,840.33,875,857.02,900.25,942.86,920,873.33,816.67,780,815.67,795,813.33,816.67,820,822,816.67,819,820,800,850,845,900,912,910,950,1050,10.53,28.05
"Groundnut oil: 1 bottle, specify bottle",501.48,497.77,490.33,508.51,490.67,497.33,508.44,500,497.7,498.07,473.64,536.3,541.33,558.52,596.67,604.85,600,588.89,604.44,626.67,629.17,588.89,575.76,507.14,517.14,490.48,477.29,455,425,455,445,475.33,479.3,486.67,521.9,535,544.44,575.24,564.1,550.3,588.33,566.15,558.67,593.85,598.15,593.33,619.41,611.11,588.15,588.15,579.89,628.67,662.22,683.33,745.33,852.94,14.44,43.63
Maize grain white sold loose,147.6,158.92,144.29,150.03,161.25,155.95,153.27,156.58,143.96,156.18,136.75,121.03,109.69,111.48,125.51,123.15,130.73,126.19,129.39,123.79,112.5,126.19,124.03,102.35,122.35,122.67,106.63,110.27,111.3,110.27,100.14,95.93,78.58,117.97,134.39,94.05,108.96,98.28,106.3,115.98,107.86,109.56,112.55,113.43,140.43,154.67,151.79,154.82,150.43,150.43,184.84,193.35,201.53,209.82,241.07,290.76,20.61,156.33
Maize grain yellow sold loose,137.84,156.06,158.83,173.32,160.82,155.87,153.87,160.42,142.76,156.1,149.97,126.02,115.18,119.05,133.1,138.73,144.7,136.61,126.79,128.81,119.39,126.61,130.16,102.21,112.21,121.59,109.69,110.27,112.27,110.27,109.71,89.24,82.53,97.41,99.77,95.24,97.54,97.83,106.8,120.59,115.77,120.91,124.79,123.51,129.32,171.32,165.79,161.77,149.32,169.32,194.29,214.96,205.36,219.2,254.46,276.61,8.7,123.97
"Palm oil: 1 bottle,specify bottle",440,462.88,466.66,440.37,452.63,461.56,460,460,444.89,462.25,518.72,541.18,493.33,502.22,550,544.44,554.44,506.67,521.9,528.89,519.15,506.67,493.33,415.24,465.24,436.67,424.76,425,475,505,485,468,451.58,504.76,495,505.19,524,520,504.31,523.94,513.33,525.38,521.33,549.17,546.67,570,618.33,627.78,564.1,578.46,574.81,575,616.19,625,681.48,794.12,16.53,44.6
Plantain(ripe),205.92,217.76,216.43,225.83,231.17,264.5,241.76,240,245.57,264.89,302,411.76,341.18,352.96,272.23,307.4,331.37,374.3,411.76,411.76,425.33,311.76,323.07,311.76,328.76,316.67,305.67,211.76,201.76,198.76,161.76,162.5,162.03,150.86,144.54,132.5,167.01,206.27,200,212.5,205,216.67,220,225,220,225.45,239.23,212.5,210,250,290,302.5,320.59,245.59,250,250, -   ,11.11
Plantain(unripe),180.71,150,153.46,172.74,192.03,196.46,201,210,166.56,196.75,225.34,180.39,200,185.75,185.75,190.5,191.99,206,260,272.86,279.92,260,260,240,265,250,233.33,220,200.36,194.02,170,116.66,136.95,133.34,130,133.33,175,200,250,266.67,230,210,218.89,216.67,210.67,210.71,200,206.67,216.67,226.67,275,286.67,290,266.67,274.34,288.89,5.3,33.33
"Vegetable oil:1 bottle,specify bottle",521.25,536.44,560.67,587.78,546.17,580,555.33,563.33,528.94,580.87,553.33,522.22,496.67,501.48,526.67,530.67,528.89,530.67,573.33,566.67,570.67,530.67,525.93,483.81,483.81,475,486.67,455.56,425.56,495.56,456.66,478.66,456.67,425,451.38,451.33,452.96,505.93,533.33,543.64,563.33,562.82,582.67,590.33,581.48,594.44,610,616.67,608.15,621.48,628,635,650,733.33,811.11,831.37,2.5,40.83
Wheat flour: prepacked (golden penny 2kg),630.67,560,540,540,627.06,540,540,562.5,588.44,540.81,570,567.5,570,566.67,563.33,557.5,600,600,600,595.5,605,660,590,626.67,620,636.67,640,650,660.81,650,648.46,610,624.89,670,670,670,678.56,650,654.5,680,663.33,666.67,668.33,667.14,675,687.5,650,676.67,656.25,675,685,695.5,693.33,717.5,783.33,800,2.13,19.91
